ID,Title,ISBN,no,"
Proposed_by",Book_number
185,ประวัติเมืองพระนครของขอม,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS554.5 จ551 2552
186,การต่างประเทศกับการเอกราชและอธิปไตย,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS581 พ899 2554
187,พระราชหัตถเลขาพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,,1,สาขาวิชาประวัติศาสตร์,DS582 พ385ต 2556
188,มนุษย์กับภาชนะดินเผา จากอดีตกาลสู่โลกสมัยใหม่,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,NK3855.T5 ธ259 2551
189,พม่า:ประวัติศาสตร์และการเมือง,9.78612E+12,1,สาขาวิชาประวัติศาสตร์,DS528.7 ช495 2552
190,400 ที่เที่ยว ทั่วไทย ไปทั่วทิศ,9.78617E+12,1,หลักสูตรการท่องเที่ยว,G153ส735 2558
191,50 ROMANTIC DESTINATIONS เมืองโรแมนติก,9.78616E+12,1,หลักสูตรการท่องเที่ยว,G153อ194 2557
192,501 MUST-SEE NATURAL WONDERS,9.78075E+12,1,หลักสูตรการท่องเที่ยว,G153.4 .F565 2016
193,501 MUST-VISIT CITIES,9.78075E+12,1,หลักสูตรการท่องเที่ยว,G140.F565 2016
194,501 MUST-VISIT DESTINATIONS,9.78075E+12,1,หลักสูตรการท่องเที่ยว,G153.4.F565 2016
195,AMAZING PLACES COST NOTHING: THE NEW GOLDEN AGE OF AUTHENTIC TRAVEL,9.7805E+12,1,หลักสูตรการท่องเที่ยว,TX907.Y63 2013
196,BALI: THE ULTIMATE GUIDE TO THE WORLD' S MOST FAMOUS TROPICAL ISLAND,9.7808E+12,1,หลักสูตรการท่องเที่ยว,DS647.B2B47 2012
197,BURMA: THE ALTERNATIVE TRAVEL GUIDE,9.7805E+12,1,หลักสูตรการท่องเที่ยว,DS527.7.J85 2009
198,CAFE STORIES,9.78617E+12,1,หลักสูตรการท่องเที่ยว,HD9199.T5 บ351 2558
199,COFFEE JOURNEY EUROPE,9.78617E+12,1,หลักสูตรการท่องเที่ยว,TX817.C6 พ451 2557
200,COLLINS WORLD ATLAS: COMPLETE EDITION,9.78001E+12,1,หลักสูตรการท่องเที่ยว,G1021.C712 2016
201,Cool! Bangkok : Your Essential Guide to What's Hip and Happening,9.78981E+12,1,หลักสูตรการท่องเที่ยว,DS589.B2 L913 2012
202,DESTINATION CAMBODIA: ADVENTURES IN THE KINGDOM,9.78174E+12,1,หลักสูตรการท่องเที่ยว,DS557.C2 M37 2013
203,DESTINATION SAIGON: ADVENTURES IN VIETNAM,9.78174E+12,1,หลักสูตรการท่องเที่ยว,DS556.39 .M37 2010
204,DIVING & SNORKELLING GUIDE TO THAILAND,9.78191E+12,1,หลักสูตรการท่องเที่ยว,GV837.S358 2012
205,DREAM CITIES: INSPIRATIONAL URBAN ESCAPES,9.78178E+12,1,หลักสูตรการท่องเที่ยว,HT166.M398 2013
206,EATING VIET NAM: DISPATCHES FROM A BLUE PLASTIC TABLE,9.78006E+12,1,หลักสูตรการท่องเที่ยว,TX360.V5 H65 2016
207,"EXPLORING CHIANG MAI: CITY, VALLEY & MOUNTAINS",8.88E+12,1,หลักสูตรการท่องเที่ยว,DS589.C44 H279 2013
208,HISTORY OF THE WORLD IN 500 WALKS,9.78178E+12,1,หลักสูตรการท่องเที่ยว,GV199.5 .B38 2016
209,I ROAM ALONE TREKKING THROUGH SOUTH AMERICA,9.78616E+12,1,หลักสูตรการท่องเที่ยว,F2225 ม577 2558
210,KITCHEN เห็นชาติ,9.78616E+12,1,หลักสูตรการท่องเที่ยว,TX353 ข939 2558
211,NATIONAL GEOGRAPHIC TRAVELER: THAILAND  ,9.78143E+12,1,หลักสูตรการท่องเที่ยว,DS563 .M33 2015
212,"THAILAND'S BEST STREET FOOD: THE COMPLETE GUIDE TO STREETSIDE DINING IN BANGKOK, CHIANG MAI, PHUKET AND OTHER AREAS",9.7808E+12,1,หลักสูตรการท่องเที่ยว,TX907.5.T5 C512 2014
213,THE TIMES MAP OF THE WORLD,9.78001E+12,1,หลักสูตรการท่องเที่ยว,รอวิเคราะห์ (แผนที่)
214,"WORLD'S HERITAGE, THE: THE DIFINITIVE GUIDE TO ALL 1007 WORLD HERITAGE SITES  ",9.78001E+12,1,หลักสูตรการท่องเที่ยว,G140.5 .W67 2015
215,"WORLD'S MUST-SEE PLACES, THE: A LOOK INSIDE MORE THAN 100 MAGNIFICENT BUILDINGS & MONUMENTS",9.78076E+12,1,หลักสูตรการท่องเที่ยว,AG243 .W619 2011
216,ภูฏานเท่านั้น :ชุด Journey,9.78616E+12,1,หลักสูตรการท่องเที่ยว,DS491.5 ว951 2558
217,เยี่ยมย่าน...ยลเสน่ห์มหานคร ภาพบันทึกจากแดนอาาทิตย์อุทัยถึงคนกรุงเทพฯ,9.78999E+12,1,หลักสูตรการท่องเที่ยว,DS812 น297 2559
218,ชาติพันธุ์ใต้อำนาจ เสียงแห่งชาติพันธุ์ในโลกเสรีนิยมใหม่,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,GN320 ช518 2558
219,แว่นตา อารมณ์ สังคม ความจริง หนึ่งทศวรรษเวทีววิจัยมนุษยศาสตร์ไทย,9.78616E+12,1,หลักสูตรการพัฒนาสังคม,H61 ห159 2559
220,ก้าวแรกที่เท่าเทียม,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,LC4069.2 ฮ589 2559
221,มนุษยศาสตร์ที่แปรเปลี่ยนในโลกที่เปลี่ยนแปลง รวมบทความจากการประชุมวิชาการระดับชาติฯ ครั้งที่ 8,9.78974E+12,1,หลักสูตรการพัฒนาสังคม,H62.5.T5 ม173 2559
222,อ่านเมือง เรื่องคนกรุง วรรณกรรม วิถีความสัมพันธ์ และภาพแทนของพื้นที่,9.78616E+12,1,หลักสูตรการพัฒนาสังคม,PL4200.5 ส848 2559
223,Thailand Only เรื่องแบบนี้มีแต่ไทยๆ,9.78616E+12,1,หลักสูตรการพัฒนาสังคม,DS568 ว913 2558
224,ระบบยุติธรรมและยุติธรรมทางเลือก แนวการวิเคราะะห์เชิงสังคมศาสตร์,9.78974E+12,1,หลักสูตรการพัฒนาสังคม,K5001 จ631 2556
225,ถังแดง :การซ่อมสร้างประวัติศาสตร์และความทรงจำหลอนในสุงคมไทย,9.78616E+12,1,หลักสูตรการพัฒนาสังคม,HN700.55.P438 จ679 2559
226,พลวัตขบวนการประชาสังคม ในภาคตะวันออกเฉียงเหนือ ประเทศไทย,9.78616E+12,1,หลักสูตรการพัฒนาสังคม,HN700.592.S65 พ444 2555
227,เครือข่ายสลัมสี่ภาค การต่อสู้เพื่อความอยู่รอดดภายใต้โครงการพัฒนาของรัฐไทยตั้งแต่ปี 2500-2553,9.78975E+12,1,หลักสูตรการพัฒนาสังคม,HV4142.55.A5 อ878 2559
228,หนี้นอกระบบเกษตรกร ฟางเส้นสุดท้ายสู่การสูญเสียที่ดิน,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HD1437 ห141 2559
229,ไทยในยุคบูรพาภิวัฒน์ โลกที่เปลี่ยนไป จาก 14 ตตุลาคม 2516 ถึง 14 ตุลาคม 2558,9.78617E+12,2,หลักสูตรการพัฒนาสังคม,DS578 อ893 2558
230,ไทยต่างด้าว ท้าวต่างแดน สังคมวิทยาของชีวิตข้าามพรมแดน,9.78974E+12,1,หลักสูตรการพัฒนาสังคม,HD6305.A8 ท931 2559
231,การกระทำผิดในสังคม สังคมวิทยาอาชญากรรมและพฤติกรรมเบี่ยงเบน,9.78974E+12,1,หลักสูตรการพัฒนาสังคม,HV6025 ส922 2558
232,ชวนถก ชาติและชาติพันธุ์,9.78974E+12,1,หลักสูตรการพัฒนาสังคม,GN316 น581 2558
233,สิทธิมนุษยชน: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,JC571 ค943 2559
234,การเมือง: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,JA66 ม576 2559
235,สังคมวิทยา: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HM585 บ141 2559
236,เสรีนิยม: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HB95 ส174 2559
237,คอรัปชั่น: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,JF1525.C66 ล796 2559
238,ฟูโกต์: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,B2430.F724 ก386 2558
239,จิตวิทยา: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,BF121 บ266 2558
240,ปรัชญากฎหมาย: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,KPT215 ว941 2558
241,ทฤษฎีเกม: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HB144 บ331 2558
242,เคนส์: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HB103 ส125 2558
243,มาร์กซ: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,B3305.M74 ซ241 2558
244,ศิลปะเรอเนซองส์: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,N6370 จ213 2557
245,ประวัติศาสตร์เศรษฐกิจโลก: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HC51 อ573 2557
246,ความสัมพันธ์ระหว่างประเทศ: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,JZ1305 ว713 2557
247,สถาปัตยกรรม: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,NA2750 บ272 2557
248,คานธี: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,DS481.G3 ป572 2557
249,ประชาธิปไตย: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,JC423 ค159 2559
250,เนลสัน แมนเดลา: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,DT1974 บ828 2556
251,ความเป็นส่วนตัว: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,JC596 ว928 2556
252,ลินคอล์น: ความรู้ฉบับพกพา,9.78616E+12,1,หลักสูตรการพัฒนาสังคม,E457 ก771ล
253,สถิติ: ความรู้ฉบับพกพา,9.78616E+12,1,หลักสูตรการพัฒนาสังคม,QA276 ฮ849 2555
254,ศิลปะสมัยใหม่: ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,N6490 ค183
255,โลกาภิวัตน์ ความรู้ฉบับพกพา,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,JZ1318 ส173
256,ประวัติศาสตร์ก้นครัว,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,TX656 ว715 2559
257,ประวัติศาสตร์กระดาษโลก,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,TS1090 ซ799 2558
258,ตำนสนอาหารโลก : เบื้องหลังจานโปรดโดนใจของคนทั่วโลก,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,TX353 จ831 2559
259,ความลับของดอกไม้,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,SB443.3 ส155
260,เศรษฐศาสตร์พฤติกรรม : เศรษฐศาสตร์แนวใหม่ที่มองคนไปไกลกว่าสัตว์เศรษฐกิจ,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HB74.P8 ธ751 2559
261,อาดัม สมิธ : ชีวิตและความคิด,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HB103.S6 บ266 2558
262,ปรัชญาสาธารณะ,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,JK468.E7 ซ812 2559
263,การศึกษาของผู้ถูกกดขี่,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,LB880.F73 ฟ621 2559
264,สื่อสาร-สิ่งแวดล้อม,9.78616E+12,1,หลักสูตรการพัฒนาสังคม,GE25 ก425 2556
265,บ้านและเรื่องในบ้าน : ครอบครัว รัฐและการเมืองวัฒนธรรม,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HQ630 ส661 2555
266,รู้รากมาร์กซิสม์,9.78616E+12,1,หลักสูตรการพัฒนาสังคม,HX44.5 ว888
267,เดอะเซอร์เคิล,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,นว อ872 2559
268,การสื่อสารกับการเปลี่ยนแปลงของสังคม,9.78974E+12,1,หลักสูตรการพัฒนาสังคม,HM1206 จ483 2554
269,ทฤษฎีขบวนการเคลื่อนไหวทางสังคมและการประท้วงทางการเมือง,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HM881 ส238 2559
270,Digital Future : อนาคตเศรษฐกิจการเมืองวัฒนธรรมใหม่ในยุคดิจิทัล,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HM851 ส357 2558
271,รัฐธรรมนูญ ประวัติศาสตร์ข้อความคิด อำนาจสถาปนนาและการเปลี่ยนผ่าน,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,KPT2064.5 ป619 2559
272,เมื่อโลกพลิกผัน การปฏิวัติอุตสาหกรรม จุดกำเนิดการเมืองและเศรษฐกิจยุคปัจจุบัน,9.78617E+12,1,หลักสูตรการพัฒนาสังคม,HC53 ป938 2559
273,Common European Framework of Reference for Languages,9.78052E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .C65 2001
274,Cambridge Handbook of Second Language Acquisition,9.78111E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .C356 2013
275,CLIL : : Content and Language Integrated Learning,9.78052E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P57.E9 C69 2011
276,Language Learning with Technology,9.78111E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53.28 .S73 2015
277,The Cambridge Guide to Research in Language Teaching and Learning,9.78111E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .C355 2015
278,The Cambridge Guide to Blended Learning for Language Teaching,9.78132E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53 .C26 2016
279,"Second Language Assessment and Mixed Methods Research,",9.78132E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .S445 2016
280,Teaching English as a Second or Foreign Language,9.78111E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128.A2 T44 2014
281,Meaningful Action: Earl Stevick's Influence on Language Teaching,9.78111E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53.755 .M43 2013
282,"Motivating Learners, Motivating Teachers: Building Vision in the Language",9.78111E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PB35 .D57 2014
283,Second Language Acquisition and Task-Based Language Teaching,9.78047E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .L668 2015
284,Task-Based Computer-Mediated Negotiation in an EFL Context: The Ins and Outs of Online Negotiation of Meaning Using Language Learning Tasks,9.78364E+12,1,หลักสูตรการสอนภาษาอังกฤษ,TK5105.6 .A345 2010
285,500 Grammar Based Conversation Questions,9.78194E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1131 .P692 2015
286,Introduction to Instructed Second Language Acquisition,9.78042E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .L65 2015
287,Theories in Second Language Acquisition: An Introduction,9.78042E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .T45 2015
288,Exploring Language Pedagogy through Second Language Acquisition Research,9.78042E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .E47 2014
289,Implementing Mobile Language Learning Technologies in Japan,9.78981E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128.A2 M478 2017
290,Project-Based Learning: Differentiating Instruction for the 21st Century,9.78141E+12,1,หลักสูตรการสอนภาษาอังกฤษ,LB1139.35.P8 B46 2012
291,Pronunciation in EFL Instruction: A Research-Based Approach (Second Language Acquisition),9.78178E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1137 .S969 2015
292,Teaching EFL Learners Shadowing for Listening: Developing learners' bottom-up skills,9.78114E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128.A2 H198 2017
293,Syntax: A Generative Introduction,9.78047E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P295 .C37 2013
294,The Syntax Workbook: A Companion to Carnie’s Syntax,9.78112E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P295 .C289 2013
295,Optimise Your Teaching Competences: New Teaching Methodologies and CLIL Applications in Foreign Languages,9.78149E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53.818 .P213 2015
296,"Inquiry and Innovation in the Classroom: Using 20% Time, Genius Hour, and PBL to Drive Student Success",9.78042E+12,1,หลักสูตรการสอนภาษาอังกฤษ,LB1065 .J75 2015
297,Introducing Needs Analysis and English for Specific Purposes (Routledge Introductions to English for Specific Purposes) ,9.78114E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128.A2 B878 2016
298,Focus On Content Based Language Teaching,9.78019E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53 .L723 2014
299,Content-Based College ESL Instruction,9.78081E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128.A2 K376 2008
300,English for Academic Purposes: A comprehensive overview of EAP and how it is best taught and learnt in a variety of academic contexts,9.78019E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128 .D278 2014
301,Introducing English for Academic Purposes,9.78114E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128.A2 C476 2015
302,"Connecting Reading & Writing in Second Language Writing Instruction, Second Edition (The Michigan Series on Teaching Multilingual Writers)",9.78047E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53.27 .H57 2016
303,Understanding Advanced Second-Language Reading ,9.78042E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128.A2 B527 2011
304,The Grammar Book 3rd Edition,9.78111E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128.A2 L334 2016
305,Language Files: Materials for an Introduction to Language and Linguistics,9.78081E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P121 .L385 2016
306,SLA Research and Materials Development for Language Learning ,9.78114E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .S23 2017
307,500 Activities for the Primary Classroom,9.78141E+12,1,หลักสูตรการสอนภาษาอังกฤษ,LB1775.5 .R282 2007
308,Blended Technologies in Second Language Classroom,9.78114E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53.855 .G78 2015
309,International Perspectives on ELT Classroom Interaction,9.78114E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1128.A2 I61 2015
310,Uncovering CLIL,9.78023E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P118.2 .M498 2008
311,Teaching Reading Skills in a Foreign Language,9.78141E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53.75 .N979 2005
312,Perspectives on Pedagogical Grammar,9.78052E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53 .P446 1994
313,English Syntax and Argumentation,9.78023E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1369 .A114 2013
314,Introduction to English Linguistics,9.78311E+12,1,หลักสูตรการสอนภาษาอังกฤษ,รอวิเคราะห์
315,Content-Based Foreign Language Teaching: Curriculum and Pedagogy for Developing Advanced Thinking and Literacy Skills,9.78042E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P53.85 .C67 2016
316,Learning Teaching,9.78023E+12,1,หลักสูตรการสอนภาษาอังกฤษ,LB1060 .S434 2011
317,English Grammar,9.78114E+12,1,หลักสูตรการสอนภาษาอังกฤษ,PE1112 .C58 2017
318,Beyond the Sentence,9.78141E+12,1,หลักสูตรการสอนภาษาอังกฤษ,P302 .T497 2005
319,คำไทยเทียบคำเขมร,,2,อ.กมลวัฒน์ เล็กนาวา,PL4327 ช648 2559
320,100 นักประพันธ์ไทย,9.78617E+12,2,อ.กมลวัฒน์ เล็กนาวา,PL4201 ป278 2553
321,Between Deleuze and Foucault,9.78147E+12,1,อ.จักรพันธ์ แสงทอง,B2430.D454 B48 2016
322,Between Foucault and Derrida,9.78075E+12,1,อ.จักรพันธ์ แสงทอง,B2430.F724 B48 2016
323,Europe After Derrida,9.78147E+12,1,อ.จักรพันธ์ แสงทอง,D1058 .E865 2016
324,How to get Philosophy Students Talking,9.78114E+12,1,อ.จักเรศ อิฐรัตน์,B52 .F58 2016
325,What is this thing called Philosophy,9.78042E+12,1,อ.จักเรศ อิฐรัตน์,BD21 .P75 2016
326,"Reference, Truth and Reality",9.78114E+12,1,อ.จักเรศ อิฐรัตน์,P106 R42 1980
327,Words and Things,9.78042E+12,1,อ.จักเรศ อิฐรัตน์,P106 .G319 2005
328,Galileo and the Conflict between Religion and Science,9.78114E+12,1,อ.จักเรศ อิฐรัตน์,BL245 .D36 2016
329,Antagonism on YouTube,9.78147E+12,1,อ.จิราภรณ์ สมิช,BR99.74 .P54 2014
330,Corpus Linguistics for ELT: Research and Practice,9.78042E+12,1,อ.จิราภรณ์ สมิช,PE1074.5 .T56 2015
331,Discourse and Digital Practices,9.78114E+12,1,อ.จิราภรณ์ สมิช,P302.865 .D57 2015
332,Researching Language and Social Media,9.78042E+12,1,อ.จิราภรณ์ สมิช,P96.T42 P34 2014
333,Language Online,9.78042E+12,1,อ.จิราภรณ์ สมิช,P96.T42 B37 2013
334,"Social Semiotics: Key Figures, New Directions",9.78042E+12,1,อ.จิราภรณ์ สมิช,P99.4.S62 A53 2015
335,Assessing English Language Learners: Theory and Practice,9.78042E+12,1,อ.เฉลิมชัย วงค์รักษ์,PE1128.A2 S684 2016
336,Second Language Learning And Language Teaching,9.78042E+12,1,อ.เฉลิมชัย วงค์รักษ์,P118.2 .C67 2016
337,Navigating the Common Core with English Language Learners,9.78112E+12,1,อ.เฉลิมชัย วงค์รักษ์,LC3746 .F47 2016
338,Pragmatic and Discourse Disorders,9.78111E+12,1,อ.เฉลิมชัย วงค์รักษ์,RC423 .C866 2015
339,Weak Island Semantics,9.7802E+12,1,อ.เฉลิมชัย วงค์รักษ์,P325 .A27 2014
340,Sentence and Discourse,9.7802E+12,1,อ.เฉลิมชัย วงค์รักษ์,P295 .S419 2015
341,Grammatical Variation British English Dialects,9.78111E+12,1,อ.เฉลิมชัย วงค์รักษ์,PE1736 .S96 2013
342,Corpus Linguistics for Translation and Contrastive Studies,9.78114E+12,1,อ.เฉลิมชัย วงค์รักษ์,P308 .M54 2016
343,Pragmatic Syntax,9.78147E+12,1,อ.เฉลิมชัย วงค์รักษ์,PL923 .K44 2014
344,Metaphor and Intercultural Communication,9.78147E+12,1,อ.เฉลิมชัย วงค์รักษ์,P94.6 .M475 2015
345,SLA Research and Materials Development for Language Learning,9.78114E+12,1,อ.เฉลิมชัย วงค์รักษ์,P118.2 .S23 2017
346,Standard English Speech,9.78111E+12,1,อ.เฉลิมชัย วงค์รักษ์,PE1135 .F959 2014
347,The Translation Studies Reader,9.78042E+12,1,อ.ราม ประสานศักดิ์,P306 .T743 2012
348,Routledge Handbook of Graffiti and Street Art,9.78114E+12,1,อ.ราม ประสานศักดิ์,GT3912. .R68 2016
349,The Routledge Companion to Comics,9.78042E+12,1,อ.ราม ประสานศักดิ์,PN6710 .R599 2017
350,The Anglo-American Ballad,9.78114E+12,1,อ.ราม ประสานศักดิ์,ML3553 .A64 2016
351,Horror Film and Affect,9.78042E+12,1,อ.ราม ประสานศักดิ์,PN1995.9.H6 A383 2016
352,Routledge Handbook of Asian Theatre,9.78042E+12,1,อ.ราม ประสานศักดิ์,PN2860 .R869 2016
353,Shakespeare and Hospitality,9.78114E+12,1,อ.ราม ประสานศักดิ์,PR3069.M3 S53 2016
354,"Shakespeare, Race and Performance The Diverse Bard",9.78114E+12,1,อ.ราม ประสานศักดิ์,PR3091 .S3673 2017
355,Exploring Teachers in Fiction and Film,9.78114E+12,1,อ.ราม ประสานศักดิ์,PR888.T35 E97 2016
356,Knowing About Language Linguistics and the Secondary English Classroom,9.78114E+12,1,อ.ราม ประสานศักดิ์,P120.L34 K623 2016
357,Understanding Silence and Reticence,9.78147E+12,1,อ.ราม ประสานศักดิ์,P51 .B354 2014
358,Literary Translation,9.78042E+12,1,อ.ราม ประสานศักดิ์,P306.5 .W75 2016
359,The Cambridge Companion to Asian American Literature,9.78111E+12,1,อ.ราม ประสานศักดิ์,PS153.A84 C35 2015
360,Teaching English Grammar to Speakers of Other Languages,9.78114E+12,1,อ.ราม ประสานศักดิ์,PE1128.A2 H663 2016
361,Psychology Language Learner Revisited,9.78114E+12,1,อ.ราม ประสานศักดิ์,P118.2 .D66 2015
362,Planning to Teach Writing : A Practical Guide for Primary School Teachers,9.78114E+12,1,อ.ราม ประสานศักดิ์,LB1528 .C38 2016
363,Cultural Studies: Theory and Practice,9.78147E+12,1,อ.ราม ประสานศักดิ์,HM623 .B255 2016
364,Exploring World Englishes : Language in a Global Context,9.78042E+12,1,อ.ราม ประสานศักดิ์,PE1073 .S43 2012
365,Differentiated Instruction,9.78114E+12,1,อ.ราม ประสานศักดิ์,LB1031 .B63 2016
366,Language and Masculinities,9.78114E+12,1,อ.ราม ประสานศักดิ์,P120.M45 L35 2015
367,Critical Thinking : The Basics,9.78114E+12,1,อ.ราม ประสานศักดิ์,B105.T54 H363 2017
368,Photography in and Out of Africa,9.78114E+12,1,อ.ราม ประสานศักดิ์,DT30.5 .P575 2016
369,An Introduction To Literary Studies,9.78042E+12,1,อ.ราม ประสานศักดิ์,PR21 .K5213 2013
370,Literary Theory : the Basics,9.78042E+12,1,อ.ราม ประสานศักดิ์,PN94 .B47 2014
371,A Theory of Adaptation,9.78042E+12,1,อ.ราม ประสานศักดิ์,PN171.A33 H88 2013
372,Angela Carter and Surrealism,9.78147E+12,1,อ.ราม ประสานศักดิ์,PR6053.A73 W353 2017
373,Folklore: The Basics,9.78114E+12,1,อ.ราม ประสานศักดิ์,GR40 .B74 2017
374,Hospitality in American Literature and Culture,9.78114E+12,1,อ.ราม ประสานศักดิ์,PS374.H68 M36 2017
375,Modernism,9.78114E+12,1,อ.ราม ประสานศักดิ์,NX454.5.M63 C48 2017
376,Neoliberalism and the Novel,9.78114E+12,1,อ.ราม ประสานศักดิ์,JC574 .N438 2017
377,The Politics of Fear,9.78145E+12,1,อ.ราม ประสานศักดิ์,JC573.2.E85 W63 2015
378,Discourse And Narrative Methods,9.78145E+12,1,อ.ราม ประสานศักดิ์,P302 .L785 2015
379,Representation: Cultural Representations and Signifying Practices,9.78185E+12,1,อ.ราม ประสานศักดิ์,HM621 .R457 2013
380,The Literature Review,9.78145E+12,1,อ.ราม ประสานศักดิ์,LB2369 .R525 2012
381,Motivation and Learning Strategies for College Success,9.78114E+12,1,อ.ลำพูน มีภาพ,LB2343.3 .D46 2016
382,Analysing English Sentences,9.78052E+12,1,อ.ลำพูน มีภาพ,PE1361 .R327 2016
383,Academic Writing for Graduate Students,9.78047E+12,1,อ.ลำพูน มีภาพ,PE1408 .S7836 2012
384,An Applied Guide to Research Designs,9.78148E+12,1,อ.ลำพูน มีภาพ,H62 .E327 2017
385,Your Dissertation in Education,9.78147E+12,1,อ.ลำพูน มีภาพ,LB1028.B835 2016
386,Teaching and Learning: Sociocultural Perspectives,9.78147E+12,1,อ.วชิราภรณ์ กิจพูนผล,P53.28 .M475 2013
387,Contemporary Computer-Assisted Language Learning,9.78147E+12,1,อ.วชิราภรณ์ กิจพูนผล,P53.28 .C678 2013
388,Using Social Media in the Classroom,9.78147E+12,1,อ.วชิราภรณ์ กิจพูนผล,LB1044.87 .P66 2016
